"run","randomSeed","satisficing_radius","rewiring_probability"
1,1,0.0,0.1
3,1,0.4,0.1
5,1,0.0,0.1
7,1,0.4,0.1
9,1,0.0,0.1
11,1,0.4,0.1
13,1,0.0,0.1
15,1,0.4,0.1
17,1,0.0,0.1
19,1,0.4,0.1
21,1,0.0,0.1
23,1,0.4,0.1
25,1,0.0,0.1
27,1,0.4,0.1
29,1,0.0,0.1
31,1,0.4,0.1
33,1,0.0,0.1
35,1,0.4,0.1
37,1,0.0,0.1
39,1,0.4,0.1
